# Radius Mass
6.0200 1.2246
6.4892 1.2168
6.9584 1.1833
7.2679 1.1420
7.4576 1.1059
7.6772 1.0492
7.8869 0.9590
8.0266 0.8661
8.1165 0.7785
8.1764 0.6934
8.1963 0.5980
8.1464 0.5000
8.7454 0.5000
8.7953 0.5851
8.8053 0.6650
8.7854 0.7501
8.7255 0.8455
8.6456 0.9229
8.5258 1.0002
8.3561 1.0827
8.2263 1.1395
7.9368 1.2194
7.4476 1.2916
6.9584 1.3225
6.4692 1.3251
6.0100 1.3122
6.0100 1.3715
6.4892 1.3973
6.9484 1.4076
7.4676 1.3999
7.9168 1.3638
8.1963 1.3225
8.4459 1.2684
8.5757 1.2323
8.7953 1.1498
8.9850 1.0595
9.1547 0.9564
9.2546 0.8481
9.3045 0.7321
9.2945 0.6392
9.2845 0.5851
9.2146 0.5000
11.7504 0.5000
11.8902 0.5902
11.9900 0.6831
12.0399 0.7785
12.0499 0.8558
12.0399 0.9435
11.9900 1.0286
11.9201 1.1137
11.8103 1.2065
11.7704 1.2426
11.6306 1.3225
11.4709 1.3973
11.2912 1.4747
11.0915 1.5469
10.9218 1.6036
10.6922 1.6629
10.4825 1.7119
10.3028 1.7454
10.0932 1.7789
9.8636 1.8047
9.4143 1.8176
8.8952 1.8176
8.5957 1.8099
8.2862 1.7996
7.9667 1.7841
7.6473 1.7557
7.3577 1.7299
6.9784 1.7016
6.6290 1.6552
6.3195 1.6139
6.0100 1.5701
6.0000 1.6139
6.3095 1.6603
6.6090 1.7016
7.2879 1.7841
7.6373 1.8228
7.9767 1.8537
8.2962 1.8795
8.5857 1.9001
8.9151 1.9156
9.3444 1.9311
9.8835 1.9311
10.3228 1.9156
10.6522 1.8769
10.9917 1.8202
11.2512 1.7686
11.5507 1.6938
11.8103 1.6139
12.0899 1.5133
12.3095 1.4154
12.4692 1.3200
12.5990 1.2246
12.6988 1.1420
12.7687 1.0570
12.7987 0.9667
12.7887 0.8661
12.7687 0.7888
12.6988 0.6960
12.5890 0.6160
12.4493 0.5387
12.3694 0.5000
13.3278 0.5000
13.5075 0.5774
13.6772 0.6650
13.7870 0.7527
13.8769 0.8610
13.9068 0.9512
13.9068 1.0389
13.8769 1.1291
13.8170 1.2271
13.6872 1.3406
13.5474 1.4386
13.3777 1.5262
13.2180 1.6036
12.9784 1.6913
12.7687 1.7583
12.5191 1.8253
12.2895 1.8821
12.0899 1.9233
11.8702 1.9672
11.4709 2.0265
11.1714 2.0651
10.8020 2.0935
10.4825 2.0987
10.2130 2.0987
9.9235 2.0935
9.6140 2.0806
9.3344 2.0677
8.9750 2.0419
8.5957 2.0084
8.2562 1.9749
7.8968 1.9362
7.5075 1.8924
7.2579 1.8563
6.9384 1.8099
6.6389 1.7609
6.3894 1.7222
6.1398 1.6758
6.0100 1.6577
